id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
683547440112722602,Condo in Oakland · ★4.93 · 1 bedroom · 1 bed · 1 bath,34009681,Cherry,,Chinatown,37.801334221983915,-122.27239488845706,Entire home/apt,157,5,29,2023-06-06,3.16,2,144,29,
683569387831323264,Rental unit in Oakland · ★5.0 · 2 bedrooms · 2 beds · 1 bath,1452900,Mike + Rach,,Lakeshore,37.81342,-122.24557,Entire home/apt,219,3,11,2023-06-09,1.04,2,72,11,
684590704014816739,Townhouse in Oakland · 3 bedrooms · 4 beds · 1 bath,75523245,Benjamin,,Clawson,37.82579822272326,-122.28738371282816,Entire home/apt,133,1,0,,,1,365,0,
685579253460705008,Home in Oakland · ★4.88 · 1 bedroom · 1 bed · 1 shared bath,473168145,Martin,,Chabot Park,37.7372251,-122.1355506,Shared room,60,1,8,2023-05-15,0.86,1,341,8,
686315036372309169,Rental unit in Oakland · ★4.67 · 2 bedrooms · 2 beds · 1 bath,438332794,Jeremy,,Hoover-Foster,37.81668,-122.27526,Entire home/apt,85,1,51,2023-06-19,4.95,4,294,51,
686915184902816140,Home in Oakland · ★5.0 · 5 bedrooms · 4 beds · 2.5 baths,142206505,Karen,,Piedmont Pines,37.82677,-122.19257,Entire home/apt,354,28,12,2023-06-11,1.27,1,331,12,
686969357470969912,Home in Oakland · 3 bedrooms · 3 beds · 2.5 baths,4036827,Tom,,Shepherd Canyon,37.83387,-122.18573,Entire home/apt,188,28,1,2022-11-06,0.13,1,82,1,
688336650128978209,Home in Oakland · ★5.0 · 2 bedrooms · 3 beds · 2 baths,57291111,John,,Shafter,37.83611,-122.25543,Entire home/apt,219,3,42,2023-06-20,4.52,1,74,42,
688370893582859962,Home in Oakland · ★4.63 · 1 bedroom · 1 bed · 1 bath,72605993,Don,,Millsmont,37.77565,-122.17687,Entire home/apt,124,2,19,2023-05-18,1.85,1,81,19,
689776576647546000,Boutique hotel in Oakland · ★4.97 · 1 bedroom · 1 bed · 1 private bath,434182021,Ayana,,Downtown,37.80314,-122.2702,Private room,109,1,32,2023-05-26,3.11,21,160,32,
689992310775056530,Condo in Oakland · ★4.87 · 1 bedroom · 1 bed · 1 bath,10173518,Nancy,,Longfellow,37.82944,-122.2701665,Entire home/apt,116,2,15,2023-05-20,1.48,4,63,15,
690025847764274287,Home in Berkeley · ★5.0 · 1 bedroom · 1 bed · 2.5 baths,515796,Kent,,Bushrod,37.8522,-122.26317,Private room,49,14,8,2023-06-14,0.85,2,95,8,
690026434153139312,Guesthouse in Oakland · ★4.97 · 2 bedrooms · 2 beds · 1 bath,26267665,Tayo,,Maxwell Park,37.77487,-122.19664,Entire home/apt,158,2,30,2023-06-23,3.06,3,323,30,
690131771147199574,Home in Oakland · ★5.0 · 1 bedroom · 1 bed · 1 private bath,133001506,Max,,Forestland,37.8402328,-122.1945814,Private room,94,3,4,2023-05-18,0.45,4,65,4,
691433557465087078,Home in Oakland · ★4.78 · 1 bedroom · 1 bed · 1 private bath,54406363,Annie,,Lincoln Highlands,37.8045826,-122.1983501,Private room,62,5,9,2023-05-14,0.96,1,104,9,
692192229832189067,Guest suite in Oakland · ★4.92 · 1 bedroom · 2 beds · 1 bath,140870848,Khidir,,Foothill Square,37.753,-122.15218,Entire home/apt,119,2,12,2023-04-23,1.21,4,3,12,
693045166166221713,Rental unit in Oakland · ★5.0 · 1 bedroom · 2 beds · 1 shared bath,14608857,Wendy/Dick,,Hoover-Foster,37.8236406,-122.2705651,Private room,51,14,3,2023-05-26,0.39,1,296,3,
693430157092450102,Home in Oakland · ★5.0 · 2 bedrooms · 3 beds · 1 bath,89124429,Alice,,Laurel,37.79386,-122.20518,Entire home/apt,140,2,5,2023-06-19,0.51,9,75,5,
693444696293521074,Home in Oakland · ★4.33 · 4 bedrooms · 3 beds · 2 baths,11553869,Diane,,Piedmont Pines,37.82805,-122.18834,Entire home/apt,350,30,3,2023-06-01,0.42,1,111,3,
693759583526822863,Townhouse in Oakland · ★4.40 · 1 bedroom · 1 bed · 1 bath,72356201,Millennium Flats,,Fruitvale Station,37.77366,-122.22705,Entire home/apt,105,30,5,2023-05-07,0.56,3,315,5,
694065312736676132,Home in Oakland · 2 bedrooms · 2 beds · 1 bath,179943250,Jennifer,,Shafter,37.83953325478229,-122.25437822662442,Entire home/apt,201,30,2,2023-03-19,0.36,1,234,2,
694204982761175452,Place to stay in Berkeley · ★4.93 · 1 bedroom · 1 bed · 1 bath,475165104,Sae,,Panoramic Hill,37.86533,-122.24398,Entire home/apt,211,2,14,2023-06-21,1.43,1,315,14,
694274070493873210,Cottage in Oakland · ★4.79 · 1 bedroom · 2 beds · 1 bath,424630599,Deena,,Ivy Hill,37.79966,-122.24776,Entire home/apt,154,1,14,2023-06-15,1.50,1,0,14,
