id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
40134194,Rental unit in New Orleans · ★4.97 · 4 bedrooms · 4 beds · 3 baths,293742020,New Orleans Luxury,,Central Business District,29.94596,-90.06687,Entire home/apt,466,2,29,2023-03-06,0.85,41,343,12,"19STR-16492, 20-OSTR-00330"
39549270,Guest suite in New Orleans · ★4.93 · 2 bedrooms · 2 beds · 1.5 baths,96936487,Carter,,St. Thomas Dev,29.92409,-90.07493,Entire home/apt,114,2,75,2023-05-31,1.76,1,95,35,"20-RSTR-0140, 20-OSTR-0139"
40134196,Rental unit in New Orleans · ★4.91 · 2 bedrooms · 2 beds · 2 baths,293742020,New Orleans Luxury,,Central Business District,29.94613,-90.06692,Entire home/apt,243,1,23,2023-05-21,0.78,41,344,13,"19STR-24537, 19-OSTR-00330"
39557038,Condo in New Orleans · ★4.94 · 3 bedrooms · 3 beds · 3 baths,293742020,New Orleans Luxury,,Central Business District,29.94487,-90.06565,Entire home/apt,466,1,16,2023-05-14,0.40,41,286,11,"19STR-16498, 20-OSTR-00330"
40535392,Home in New Orleans · ★4.89 · 2 bedrooms · 3 beds · 1 bath,169943799,Mark,,Marigny,29.96499,-90.05186,Entire home/apt,119,1,80,2023-05-22,2.24,1,62,60,"19STR-26396, 20-OSTR-20657"
40134200,Rental unit in New Orleans · ★5.0 · 2 bedrooms · 2 beds · 1.5 baths,293742020,New Orleans Luxury,,Central Business District,29.94669,-90.06505,Entire home/apt,233,1,24,2023-03-07,0.60,41,365,13,"19STR-17024, 19-OSTR-00330"
40539135,Home in New Orleans · 3 bedrooms · 3 beds · 2 baths,210297056,Cynthia,,Milan,29.93198,-90.09271,Entire home/apt,159,2,1,2020-01-19,0.02,1,17,0,"19STR-70329, 19-OSTR-70328"
40134203,Condo in New Orleans · ★5.0 · 2 bedrooms · 2 beds · 2 baths,293742020,New Orleans Luxury,,Central Business District,29.94483,-90.06693,Entire home/apt,233,1,31,2023-05-28,0.77,41,297,16,"19STR-16484, 19-OSTR-00330"
40540388,Home in New Orleans · ★4.82 · 2 bedrooms · 2 beds · 1 bath,106289693,Vello,,Milan,29.92973,-90.09348,Entire home/apt,83,3,88,2023-06-01,2.10,99,152,38,"21-RSTR-17532, 21-OSTR-03993"
39557536,Home in New Orleans · ★4.95 · 4 bedrooms · 5 beds · 3 baths,19414007,Epic Stork,,Uptown,29.92823,-90.10464,Entire home/apt,296,2,64,2023-05-21,1.46,6,312,27,"19STR-16589, 20-OSTR-1610"
40134206,Condo in New Orleans · ★4.86 · 2 bedrooms · 2 beds · 2 baths,293742020,New Orleans Luxury,,Central Business District,29.95025,-90.07256,Entire home/apt,233,1,14,2023-05-02,0.35,41,354,3,"19STR-16489, 19-OSTR-00330"
40134211,Condo in New Orleans · ★5.0 · 2 bedrooms · 2 beds · 2 baths,293742020,New Orleans Luxury,,Central Business District,29.94531,-90.06687,Entire home/apt,233,2,20,2022-11-14,0.62,41,358,4,"19STR-16479, 19-OSTR-00330"
40540997,Home in New Orleans · ★5.0 · 2 bedrooms · 2 beds · 1 bath,281806,Kay,,Central City,29.94295358994926,-90.0946004896342,Entire home/apt,72,2,23,2023-05-28,5.66,4,74,23,"22-CSTR-21416, 22-OSTR-17900"
40134213,Rental unit in New Orleans · ★4.97 · 2 bedrooms · 3 beds · 2 baths,293742020,New Orleans Luxury,,Central Business District,29.94687,-90.06481,Entire home/apt,233,1,64,2023-05-28,1.53,41,304,33,"19STR-16059, 19-OSTR-00330"
39558780,Rental unit in New Orleans · ★4.92 · 4 bedrooms · 5 beds · 3 baths,19414007,Epic Stork,,Uptown,29.92873,-90.10427,Entire home/apt,296,2,51,2023-05-23,1.16,6,334,23,"19STR-16594, 20-OSTR-1610"
40134215,Condo in New Orleans · ★4.86 · 2 bedrooms · 2 beds · 2 baths,293742020,New Orleans Luxury,,Central Business District,29.94528,-90.06493,Entire home/apt,223,1,7,2023-05-11,0.22,41,351,3,"19STR-17025, 19-OSTR-00330"
39559718,Condo in New Orleans · 2 bedrooms · 2 beds · 1.5 baths,59314900,Leslie,,Lakeshore - Lake Vista,30.02064,-90.11202,Entire home/apt,300,30,1,2022-05-14,0.08,2,363,0,
39576514,Bed and breakfast in New Orleans · ★4.88 · 1 bedroom · 2 beds · 1 private bath,304085755,Judith,,Fairgrounds,29.97953,-90.07858,Private room,55,1,112,2023-06-05,2.56,1,336,35,
39580648,Townhouse in New Orleans · ★5.0 · 3 bedrooms · 3 beds · 2.5 baths,290507965,Jessica,,French Quarter,29.95917,-90.06936,Entire home/apt,250,30,6,2022-09-25,0.15,4,268,1,
40555488,Home in New Orleans · ★4.80 · 3 bedrooms · 3 beds · 2.5 baths,33148452,Alfred,,Treme - Lafitte,29.96872,-90.07822,Entire home/apt,221,2,44,2023-05-13,2.84,2,352,33,"21-RSTR-14239, 21OSTR-14239"
40560935,Condo in New Orleans · ★4.96 · 3 bedrooms · 3 beds · 3.5 baths,291848379,Christopher,,Central Business District,29.94781,-90.07346,Entire home/apt,479,1,25,2022-07-10,0.60,2,258,2,"19STR-16979, 20-OSTR-0431"
40592898,Guest suite in New Orleans · ★4.91 · 1 bedroom · 2 beds · 1 bath,1282043,Mindy,,Mid-City,29.96704,-90.08777,Entire home/apt,95,2,82,2023-05-09,1.93,1,0,16,"21RSTR-00809, 21OSTR-00808"
40594328,Rental unit in New Orleans · 1 bedroom · 1 bed · 1 private bath,42934323,Albert,,Central Business District,29.94518,-90.07093,Private room,100,30,0,,,10,0,0,
40134216,Rental unit in New Orleans · ★5.0 · 1 bedroom · 2 beds · 1 bath,293742020,New Orleans Luxury,,Lower Garden District,29.94456,-90.06625,Entire home/apt,180,1,28,2023-06-02,0.86,41,348,17,"19STR-17150, 19-OSTR-00330"
39586541,Home in New Orleans · ★5.0 · 5 bedrooms · 5 beds · 3 baths,304169379,Edward,,West Riverside,29.92158,-90.11964,Entire home/apt,456,1,169,2023-05-29,3.86,2,267,59,"20CSTR-33483, 19OSTR-27105"
40134219,Condo in New Orleans · ★4.96 · 2 bedrooms · 3 beds · 2 baths,293742020,New Orleans Luxury,,Central Business District,29.94648,-90.06679,Entire home/apt,217,2,48,2023-05-29,1.20,41,346,25,"19STR-16683, 19-OSTR-00330"
40134220,Rental unit in New Orleans · ★5.0 · 2 bedrooms · 3 beds · 2 baths,293742020,New Orleans Luxury,,Central Business District,29.94575,-90.0659,Entire home/apt,223,2,9,2023-03-20,0.27,41,356,4,"19STR-16678, 19-OSTR-00330"
40134222,Condo in New Orleans · ★5.0 · 2 bedrooms · 2 beds · 2 baths,293742020,New Orleans Luxury,,Central Business District,29.9467,-90.06538,Entire home/apt,233,1,9,2023-05-01,0.27,41,344,6,"19STR-16680, 19-OSTR-00330"
