id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
3781,Rental unit in Boston · ★4.96 · 1 bedroom · 1 bed · 1 bath,4804,Frank,,East Boston,42.36413,-71.02991,Entire home/apt,120,32,24,2022-09-05,0.25,1,224,1,
5506,Guest suite in Boston · ★4.79 · 1 bedroom · 1 bed · 1 bath,8229,Terry,,Roxbury,42.32844,-71.09581,Entire home/apt,139,3,118,2022-12-05,0.68,10,79,8,Approved by the government
6695,Condo in Boston · ★4.80 · Studio · 2 beds · 1 bath,8229,Terry,,Roxbury,42.32802,-71.09387,Entire home/apt,171,3,124,2023-03-26,0.73,10,71,8,STR446650
8789,Rental unit in Boston · ★4.65 · 1 bedroom · 1 bed · 1 bath,26988,Anne,,Beacon Hill,42.35867,-71.06307,Entire home/apt,93,91,26,2023-05-12,0.24,8,186,1,
10813,Rental unit in Boston · ★5.0 · Studio · 1 bed · 1 bath,38997,Michelle,,Back Bay,42.35061,-71.08787,Entire home/apt,133,29,5,2020-12-02,0.06,11,365,0,
10986,Condo in Boston · Studio · 1 bed · 1 bath,38997,Michelle,,North End,42.36377,-71.05206,Entire home/apt,139,33,2,2016-05-23,0.02,11,365,0,
18711,Rental unit in Boston · ★4.30 · 3 bedrooms · 3 beds · 1 bath,71783,Lance,,Dorchester,42.32212,-71.06096,Entire home/apt,136,30,52,2019-10-05,0.33,27,149,0,
29765,Rental unit in Boston · ★4.97 · 1 bedroom · 1 bed · 1 bath,128280,Elizabeth,,Charlestown,42.37754,-71.06642,Entire home/apt,226,2,103,2022-10-21,0.65,1,0,5,STR-454024
40601,Home in Boston · ★4.98 · 1 bedroom · 1 bed · 1.5 baths,174986,Robert,,Jamaica Plain,42.31347,-71.11082,Private room,100,13,94,2023-06-05,0.60,1,265,7,
45987,Rental unit in Charlestown · ★4.65 · 1 bedroom · 1 bed · 1 bath,205107,Atef,,Charlestown,42.37424,-71.06081,Entire home/apt,114,29,137,2023-05-31,0.88,1,36,3,STR-409822
47521,Home in Dorchester · ★4.45 · 3 bedrooms · 3 beds · 1.5 shared baths,119019,Hermina,,Dorchester,42.29871,-71.05954,Private room,70,1,334,2022-09-17,2.15,4,77,2,
60029,Rental unit in Boston · ★4.73 · 1 bedroom · 1 bed · 1 shared bath,255183,Michelle,,Roxbury,42.32546,-71.08894,Private room,80,29,144,2023-05-07,0.95,5,142,2,
67774,Condo in Boston · ★4.83 · 1 bedroom · 1 bed · 1 bath,26988,Anne,,Downtown,42.35689,-71.06206,Entire home/apt,85,91,48,2022-12-24,0.37,8,243,1,
69369,Rental unit in Boston · ★4.75 · 2 bedrooms · 2 beds · 1 bath,255183,Michelle,,Roxbury,42.32546,-71.08894,Entire home/apt,100,29,120,2019-11-15,0.82,5,92,0,STR-415714
