id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
90676,Home in Columbus · ★4.82 · 3 bedrooms · 3 beds · 2 baths,483306,Audra & Lacey,,Near North/University,39.98366,-83.00252,Entire home/apt,133,1,669,2023-06-19,4.69,3,159,86,2022-2475
543140,Home in Columbus · ★4.70 · 1 bedroom · 1 bed · 1 shared bath,2350409,Edward,,Near North/University,40.01114,-83.01005,Private room,29,7,126,2023-05-02,0.95,3,251,6,
591101,Loft in Columbus · ★4.92 · 1 bedroom · 1 bed · 1 private bath,2889677,Gail,,Near East,39.96041,-82.98005,Private room,100,2,288,2023-06-11,2.17,1,304,25,2019-1230
923248,Hostel in Columbus · ★4.73 · 1 bedroom · 5 beds · 3 shared baths,4965048,Mathew,,Near North/University,40.01259,-83.00164,Shared room,30,1,317,2023-06-09,2.52,7,353,40,2019-1314
927867,Hostel in Columbus · ★4.70 · 1 bedroom · 1 bed · 3 shared baths,4965048,Mathew,,Near North/University,40.01259,-83.00164,Private room,73,1,69,2023-05-21,0.58,7,344,6,2019-1314
1183297,Home in Columbus · ★4.90 · 3 bedrooms · 3 beds · 2 baths,235498219,Jessica,,Near South,39.95164,-82.99434,Entire home/apt,188,2,72,2023-06-25,3.46,1,136,35,
1217678,Home in Columbus · ★4.96 · 1 bedroom · 1 bed · 1.5 shared baths,5707733,Russell And Douglas,,Clintonville,40.03869,-83.01728,Private room,85,1,220,2023-06-01,1.81,2,336,18,
1286887,Home in Columbus · ★4.98 · 2 bedrooms · 2 beds · 2.5 baths,78761,Jeff & Stevo,,Near South,39.94548,-82.99245,Entire home/apt,217,30,172,2023-05-28,1.44,1,317,13,2019-1888
1336145,Home in Columbus · ★4.95 · 1 bedroom · 1 bed · 1.5 shared baths,5707733,Russell And Douglas,,Clintonville,40.0369,-83.01677,Private room,85,1,169,2023-06-04,1.41,2,348,14,
1520102,Hostel in Columbus · ★4.88 · 1 bedroom · 3 beds · 3 shared baths,4965048,Mathew,,Near North/University,40.01259,-83.00164,Shared room,32,1,49,2023-06-11,0.43,7,351,4,2019-1314
1763836,Rental unit in Columbus · ★4.91 · 1 bedroom · 1 bed · 1 bath,7785489,Nancy,,Near North/University,40.01603,-83.00279,Entire home/apt,75,5,93,2023-06-24,0.79,3,104,7,2023-2180
2134901,Rental unit in Columbus · ★4.88 · 2 bedrooms · 3 beds · 1 bath,6466841,Linda,,Near North/University,39.98744,-83.01632,Entire home/apt,180,14,36,2022-09-04,0.31,4,267,1,2019-1846
2172026,Rental unit in Columbus · ★4.74 · 1 bedroom · 2 beds · 1 bath,6466841,Linda,,Near North/University,39.98576,-83.01092,Entire home/apt,140,30,35,2022-11-13,0.31,4,208,1,2019-1847
2196955,Home in Columbus · ★4.77 · 1 bedroom · 1 bed · 1.5 shared baths,11043646,Curt,,West Olentangy,40.02283,-83.03283,Private room,30,28,52,2023-04-14,0.59,3,31,2,
2227278,Home in Columbus · ★5.0 · 2 bedrooms · 2 beds · 2 baths,11366166,Tina,,Near South,39.94092,-82.98748,Entire home/apt,250,4,3,2017-10-29,0.03,1,354,0,2019-1536
2262958,Rental unit in Columbus · ★4.76 · 2 bedrooms · 2 beds · 2 baths,6466841,Linda,,Near North/University,39.98675,-83.01279,Entire home/apt,160,5,38,2022-07-24,0.35,4,286,1,2019-1848
2349920,Home in Columbus · ★4.90 · 3 bedrooms · 4 beds · 2.5 baths,10776491,Catherine & Bryan,,Near North/University,39.98596,-83.00282,Entire home/apt,243,2,196,2023-06-06,1.72,4,142,27,2019-2361
3731977,Home in Westerville · ★4.96 · 1 bedroom · 1 bed · 1 private bath,18986310,Alissa,,Rocky Fork-Blacklick,40.08947,-82.88701,Private room,60,7,54,2023-05-30,0.55,1,316,7,
3940646,Rental unit in Columbus · ★4.95 · 1 bedroom · 2 beds · 1 bath,19532241,Tawana,,Near East,39.9659,-82.97557,Entire home/apt,77,1,396,2023-05-14,5.27,2,62,44,2021-2912
3975468,Rental unit in Columbus · ★4.86 · 1 bedroom · 1 bed · 1 shared bath,16184897,Toya,,South Linden,40.00709,-82.97442,Private room,50,1,65,2022-08-01,0.62,3,160,1,
4679761,Hostel in Columbus · ★4.78 · 1 bedroom · 1 bed · 3 shared baths,4965048,Mathew,,Near North/University,40.01257,-83.00159,Private room,87,1,63,2023-06-11,0.74,7,326,4,2019-1314
5297763,Townhouse in Columbus · ★4.88 · 3 bedrooms · 3 beds · 1 bath,27439453,Ingrid & Mike,,Near North/University,39.98849,-83.00129,Entire home/apt,87,1,421,2023-06-18,4.30,12,124,60,2021-3068
5820556,Condo in Columbus · ★4.82 · 1 bedroom · 1 bed · 1 bath,119415,Douglas,,Near North/University,39.98992,-83.00427,Entire home/apt,66,29,162,2023-05-31,1.63,1,344,5,2019-1145
5854666,Home in Columbus · ★4.88 · 1 bedroom · 1 bed · 1 private bath,25144683,Yizhar Joe,,Eastmoor/Walnut Ridge,39.9679,-82.92291,Private room,95,2,8,2019-08-11,0.10,1,305,0,
6214751,Rental unit in Columbus · ★4.92 · 2 bedrooms · 2 beds · 1 bath,31349526,Bill,,Near East,39.96606,-82.96446,Entire home/apt,99,1,137,2019-05-26,1.39,1,10,0,2019-1524
6391158,Home in Columbus · ★4.98 · 1 bedroom · 1 bed · 1.5 baths,33321292,Figen,,Rocky Fork-Blacklick,40.0636,-82.8546,Private room,55,1,194,2023-06-09,1.98,2,355,23,
6416756,Villa in Columbus · ★4.97 · 1 bedroom · 1 bed · 1 shared bath,33321292,Figen,,Rocky Fork-Blacklick,40.06335,-82.85319,Private room,59,1,159,2023-06-06,1.62,2,340,24,
6624355,Home in Columbus · ★4.92 · 2 bedrooms · 2 beds · 1 bath,28808319,Pilgrim Heidi,,Clintonville,40.02752,-83.02348,Entire home/apt,76,1,12,2023-05-13,0.13,1,176,7,
6805322,Rental unit in Columbus · ★4.81 · 1 bedroom · 1 bed · 1 shared bath,16184897,Toya,,South Linden,40.00632,-82.97504,Shared room,25,1,47,2020-03-01,0.49,3,69,0,2019-2083
6883920,Bungalow in Washington Township · ★4.97 · 1 bedroom · 3 beds · 1 bath,11363908,Brenda And Steven,,Hayden Run,40.06479,-83.12121,Entire home/apt,180,2,60,2023-06-04,0.62,1,234,13,
6924472,Home in Columbus · ★4.83 · 1 bedroom · 3 beds · 2.5 shared baths,24519205,Darrin,,Near North/University,39.99228,-83.01179,Private room,45,1,232,2023-06-18,2.52,4,222,84,
7061726,Townhouse in Columbus · ★4.81 · 3 bedrooms · 3 beds · 1 bath,27439453,Ingrid & Mike,,Near North/University,39.9883,-83.00101,Entire home/apt,81,1,423,2023-06-13,4.38,12,139,56,2021-3069
7474783,Home in Columbus · ★4.98 · 1 bedroom · 1 bed · 2.5 baths,39147286,David,,Near East,39.96348,-82.9519,Private room,71,1,87,2023-06-25,5.79,1,324,70,
7564891,Home in Columbus · ★4.79 · 1 bedroom · 1 bed · 2.5 shared baths,39662644,Paul,,Northland,40.06467,-82.98839,Private room,25,30,15,2022-12-18,0.16,14,316,1,
7617016,Home in Columbus · ★4.82 · 1 bedroom · 3.5 shared baths,39662644,Paul,,Northland,40.06467,-82.98839,Private room,27,30,17,2023-04-04,0.18,14,244,5,
7637541,Home in Columbus · ★4.69 · 1 bedroom · 2.5 shared baths,39662644,Paul,,Northland,40.06466,-82.98839,Private room,55,28,16,2023-05-06,0.19,14,315,1,
7771588,Rental unit in Columbus · ★4.89 · 1 bedroom · 1 bed · 1 bath,7785489,Nancy,,Clintonville,40.0195,-83.00268,Entire home/apt,90,3,124,2023-05-29,1.33,3,230,18,2023-2178
7909479,Rental unit in Columbus · ★4.92 · 1 bedroom · 1 bed · 1 bath,41706311,David,,Downtown,39.96771,-82.99936,Entire home/apt,107,30,27,2015-12-20,0.28,1,365,0,
8507141,Home in Columbus · ★4.73 · 1 bedroom · 2.5 shared baths,39662644,Paul,,Northland,40.0615,-82.98872,Private room,54,30,15,2022-01-03,0.24,14,235,0,
8507146,Home in Columbus · ★4.53 · 1 bedroom · 1 bed · 2.5 shared baths,39662644,Paul,,Northland,40.06467,-82.98839,Private room,24,30,19,2023-06-18,0.23,14,325,1,
8578379,Home in Columbus · ★4.84 · 1 bedroom · 1 bed · 1 shared bath,44880235,Regan,,Near East,39.96192,-82.97329,Private room,33,1,661,2023-06-15,7.02,2,264,93,
8688424,Rental unit in Columbus · ★4.79 · 1 bedroom · 2 beds · 1 bath,35480169,Margaret,,Northwest,40.06375,-83.10037,Entire home/apt,79,2,81,2023-06-05,0.87,1,349,26,2019-2111
8702043,Home in Columbus · ★4.44 · 3 bedrooms · 9 beds · 3 baths,28695156,Miles,,Near North/University,39.98371,-83.01437,Entire home/apt,200,2,158,2023-05-29,1.70,2,333,5,2018-1841
9169196,Home in Columbus · ★5.0 · 4 bedrooms · 4 beds · 1.5 baths,1815644,Amanda,,Near North/University,39.98942,-83.00859,Entire home/apt,289,2,48,2023-06-11,0.60,1,131,12,2019-2063
9213984,Home in Columbus · ★4.83 · 3 bedrooms · 4 beds · 2 baths,36990978,Bonnie,,Far Northwest,40.10509,-83.07751,Entire home/apt,180,2,201,2023-06-18,2.17,1,334,27,2019-1500
9561460,Home in Columbus · ★4.96 · 1 bedroom · 1 bed · 1.5 shared baths,25656963,Josh,,Near East,39.960344632283274,-82.95054054323347,Private room,57,1,629,2023-06-19,6.88,2,266,96,
9725156,Home in Columbus · ★4.93 · 1 bedroom · 1 bed · 1 shared bath,37196796,Dianne,,North Linden,40.03776,-82.9875,Private room,42,1,29,2022-04-09,0.51,1,37,0,
